Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
044554a6-63f7-4e13-acf0-9418aa2d9ba2	83	0.75	71.829	86.541%	9.13	67.125%	0.68451	0.557
044e5f26-5496-44d1-9191-e69448047a16	2	0.587	2.862	143.1%	1.154	81.6%	2.51948	0.576
0452373e-b8a8-4a0f-b21b-efaaa3bb6b10	13	0.78	15.131	116.392%	3.031	63.201%	1.469	0.76
04587e84-05b2-44fb-a98d-44e4ac65d690	6	0.499	9.863	164.383%	2.151	87.814%	2.02424	0.469
04678f06-9106-4a92-81b4-f84193f143c7	4	0.681	4.915	122.875%	1.482	74.1%	0.95772	0.665
0468890a-ec76-4e8b-bf3c-49200e0d5090	2	0.901	2.495	124.75%	0.919	64.983%	0.99455	0.917
046a68c0-c7ca-4752-884e-79a46be0edad	24	0.72	26.077	108.654%	3.966	70.11%	1.22518	0.641
046eff1d-5af9-44cd-976b-3f95a44bd06f	41	0.924	27.694	67.546%	4.322	38.352%	0.69878	0.911
046f1b0f-f908-44f6-bc40-8e269a291a39	172	0.861	91.292	53.077%	12.217	51.082%	0.28659	0.668
04703fb8-47cd-4732-850a-14f913d7e6b6	147	0.913	95.417	64.91%	13.502	42.718%	0.48353	0.89
0471e70c-a85d-4ed9-b73e-2adbddcf14dd	23	0.802	18.721	81.396%	3.242	60.202%	1.02024	0.749
047274d0-445a-473f-b1ba-82731ba6c9cb	129	0.937	77.947	60.424%	11.686	36.081%	0.42274	0.924
04794e3b-6bf4-4616-a5e7-f4b099b7e363	115	0.802	86.257	75.006%	12.149	60.073%	0.52649	0.683
047a609a-8341-414a-ac67-43bd14c4ec5e	85	0.919	58.115	68.371%	8.301	40.361%	0.55971	0.902
047b5e71-e322-4887-ac65-c3b64d848d91	18	0.735	20.84	115.778%	3.585	67.75%	1.26739	0.691
047c52f7-9feb-4f97-b83d-427f51311dd0	11	0.825	9.829	89.355%	2.771	63.571%	1.82085	0.815
047c7c3b-0baa-41fe-91c7-e3c59a55bdc3	213	0.885	120.152	56.409%	17.088	46.838%	0.28491	0.816
0480797d-1ce6-46e4-8f27-b24c9597a052	100	0.946	45.393	45.393%	6.299	32.571%	0.33727	0.924
04830c2f-834f-48c8-9713-38a3f3979854	16	0.848	13.441	84.006%	2.905	53.038%	1.6431	0.832
04836396-2ea0-4f94-a607-afb777b4396d	49	0.913	32.406	66.135%	4.57	41.206%	0.54091	0.89
0483a1a6-2b59-4494-8006-c913ed51aa5a	41	0.88	28.031	68.368%	4.232	47.614%	0.62283	0.843
0485414e-8c90-4f1e-a5f2-03f9751786f0	168	0.965	74.257	44.201%	13.633	26.092%	0.27805	0.961
0487d1a7-d355-4af0-9829-fb30f689f8fb	96	0.901	64.993	67.701%	8.928	43.564%	0.53034	0.87
048d45ea-9522-447d-b4d1-802af41074e1	119	0.919	80.239	67.428%	13.192	40.235%	0.45741	0.906
0492dbe7-76e0-4ef1-98dd-6ca6f9fccf9c	95	0.828	66.558	70.061%	8.995	57.234%	0.51094	0.714
0493f571-b732-4f33-9c57-b9b5762e7da1	52	0.911	30.795	59.221%	5.922	45.689%	0.66328	0.897
0496db24-4e9b-4356-bc5a-f37ae39083b0	14	0.775	13.476	96.257%	2.531	63.275%	1.24851	0.736
049a4abd-df4b-4e38-ae55-3592c35a0e95	149	0.957	68.164	45.748%	10.518	29.183%	0.36907	0.948
049b32ae-f4ab-4684-a92d-1cccb7e82520	318	0.965	123.255	38.759%	18.798	26.606%	0.21728	0.956
049ed88c-06fc-4417-bf61-2100914e09bc	2	0.465	3.481	174.05%	1.279	90.439%	2.17361	0.461
04a982f4-7296-4c2f-8155-5f5cfdf8e423	206	0.939	102.907	49.955%	13.745	37.299%	0.29987	0.915
04acaaaf-3c93-4014-afcb-741e5252b563	61	0.843	51.601	84.592%	9.194	55.85%	0.85493	0.816
04acabb5-538d-4eae-898f-ba89c713d5ea	352	0.903	160.098	45.482%	23.095	43.583%	0.21152	0.818
04b3a01b-7a45-4cd4-8241-8f8d23407498	64	0.89	50.365	78.695%	8.02	47.258%	0.78315	0.871
04b50865-c367-44be-8288-3c5464135074	191	0.891	103.149	54.005%	15.083	45.917%	0.31093	0.828
